cleaned_title;demand;salary_month;avg_salary;skills;frameworks
backend developer;121;EGP 8K - EGP 21K;14.5;['python', 'java', 'rest apis', 'database', 'sql',  'docker', 'git', 'aws', 'microservices' , 'security'];Node.js, Django, Laravel, Spring Boot, .net
full stack developer;82;EGP 9K - EGP 24K;16.5;['html', 'css', 'javascript', 'database', 'sql', 'nosql', 'git', 'docker', 'aws', 'restful apis', 'unit testing'];
frontend developer;76;EGP 8K - EGP 19K;13.5;['html', 'css', 'javascript', 'responsive design', 'git', 'api integration', 'ui/ux basics', 'bootstrap',];React, Angular, Vue
software engineer;47;EGP 6K - EGP 15K;10.5;['python', 'java', 'c#', 'data structures', 'algorithms', 'sql', 'api integration', 'unit testing', 'git', 'cloud', 'sdlc', 'design patterns'];
security engineer;37;EGP 8K - EGP 34K;21;['network security', 'firewalls', 'siem tools', 'pen testing', 'vulnerability scanning', 'python', 'bash', 'cloud security'];
business developer;33;EGP 7K - EGP 25K;16;['sales', 'crm', 'market research', 'lead generation', 'negotiation', 'communication', 'business analysis'];
mobile developer;37;EGP 6K - EGP 20K;13;['rest apis', 'git', 'firebase', 'ui/ux basics'];Flutter, React Native, Swift, Kotlin
data analyst;29;EGP 9K - EGP 21K;15;['sql', 'excel', 'power bi', 'tableau', 'python', 'statistics', 'data cleaning', 'visualization'];TensorFlow, PyTorch, Scikit-Learn
oracle developer;22;EGP 11K - EGP 22K;16.5;['oracle database', 'pl/sql', 'sql', 'forms and reports', 'performance tuning', 'backup and recovery'];
odoo developer;19;EGP 8K - EGP 19K;13.5;['python', 'odoo framework', 'xml', 'qweb', 'postgresql', 'api integration'];
software tester;25;EGP 7K - EGP 19K;13;['manual testing', 'selenium', 'cypress', 'test cases', 'jira', 'api testing', 'postman'];
data engineer;22;EGP 13K - EGP 33K;23;['python', 'sql', 'etl', 'airflow', 'spark', 'aws', 'big data'];TensorFlow, PyTorch, Scikit-Learn
devops engineer;23;EGP 13K - EGP 25K;19;['docker', 'kubernetes', 'jenkins', 'github actions', 'terraform', 'linux', 'aws', 'bash', 'python'];
android developer;24;EGP 11K - EGP 24K;17.5;['java', 'android sdk', 'jetpack', 'rest apis', 'firebase', 'git', 'kotlin'];
data scientist;17;EGP 11K - EGP 31K;21;['python', 'machine learning', 'deep learning', 'sql', 'statistics', 'pandas', 'numpy'];TensorFlow, PyTorch, Scikit-Learn
application support;17;EGP 11K - EGP 25K;18;['troubleshooting', 'sql', 'linux', 'monitoring tools', 'api debugging', 'ticketing'];
cloud engineer;19;EGP 12K - EGP 30K;21;['aws', 'azure', 'gcp', 'terraform', 'kubernetes', 'linux', 'cloud networking'];
network engineer;16;EGP 7K - EGP 15K;11;['ccna', 'routing', 'switching', 'firewalls', 'vpn', 'tcp/ip', 'network monitoring'];
project manager;19;EGP 5K - EGP 26K;15.5;['project planning', 'agile', 'scrum', 'risk management', 'jira', 'documentation', 'leadership'];
ios developer;18;EGP 8K - EGP 30k;19;['xcode', 'swiftui', 'uikit', 'rest apis', 'firebase', 'git', 'swift'];
wordpress developer;14;EGP 5K - EGP 28K;16.5;['wordpress', 'php', 'html', 'css', 'javascript', 'plugins', 'themes', 'mysql'];
ai automation specialist;13;EGP 16K - EGP 25K;20.5;['python', 'machine learning', 'nlp', 'rpa', 'uipath', 'automation anywhere', 'api integration', 'cloud ai tools'];TensorFlow, PyTorch
erp developer;13;EGP 7K - EGP 10K;8.5;['erp systems', 'sql', 'python', 'java', 'api integration', 'business processes'];
ui ux designer;21;EGP 6K - EGP 13K;9.5;['figma', 'adobe xd', 'wireframing', 'prototyping', 'user research', 'design systems'];
zoho developer;11;EGP 6K - EGP 12K;9;['zoho crm', 'deluge scripting', 'api integration', 'workflow automation'];
desktop developer;18;EGP 5K - EGP 10K;7.5;['c#', '.net', 'wpf', 'winforms', 'sql', 'git'];
sharepoint developer;10;EGP 15K - EGP 20K;17.5;['sharepoint', 'power automate', 'power apps', 'c#', 'javascript', 'workflows'];
sap developer;10;EGP 9K - EGP 18K;13.5;['abap', 'sap modules', 'sql', 'fiori', 'ui5'];
game developer;10;EGP 5K - EGP 16K;10.5;['unity', 'unreal engine', 'c#', 'c++', 'animation', 'game physics'];
scrum master;13;EGP 22K - EGP 43K;32.5;['agile', 'scrum', 'sprint planning', 'jira', 'facilitation', 'communication'];
plm developer;9;EGP 19K - EGP 21K;20;['teamcenter', 'aras plm', 'sql', 'java', 'c#', 'api integration'];
sql developer;9;EGP 8K - EGP 21K;14.5;['sql', 'stored procedures', 'performance tuning', 'etl', 'data modeling'];
drupal developer;9;EGP 7K - EGP 11K;9;['drupal', 'php', 'html', 'css', 'javascript', 'mysql'];
audit executive;9;EGP 5K - EGP 11K;8;['internal control', 'risk assessment', 'excel', 'reporting', 'compliance'];
computer vision;9;EGP 9K - EGP 45K;27;['python', 'opencv', 'deep learning', 'tensorflow', 'pytorch', 'image processing'];
